fold,EP,ER,EF1,entity_tp,entity_fp,entity_fn,RP,RR,RF1,relation_tp,relation_fp,relation_fn
1,0.6875,0.7665505226480837,0.7248764415156509,220,100,67,0.2601626016260163,0.25,0.2549800796812749,32,91,96
2,0.6750788643533123,0.816793893129771,0.7392055267702937,214,103,48,0.1875,0.19811320754716982,0.19266055045871558,21,91,85
3,0.722972972972973,0.7781818181818182,0.7495621716287216,214,82,61,0.20535714285714285,0.1678832116788321,0.1847389558232932,23,89,114
4,0.6220238095238095,0.836,0.7133105802047781,209,127,41,0.14754098360655737,0.32727272727272727,0.20338983050847456,36,208,74
5,0.5067873303167421,0.8028673835125448,0.6213592233009709,224,218,55,0.3673469387755102,0.21686746987951808,0.27272727272727276,18,31,65
