fold,EP,ER,EF1,RP,RR,RF1,role_accuracy,threshold,decoder,o_penalty
1,0.6903225806451613,0.7456445993031359,0.7169179229480737,0.2601626016260163,0.25,0.2549800796812749,0.2180217503883998,0.6,emission,0.0
2,0.6634615384615384,0.7900763358778626,0.7212543554006968,0.1826086956521739,0.1981132075471698,0.1900452488687783,0.4187192118226601,0.4,emission,0.0
3,0.7222222222222222,0.7563636363636363,0.7388987566607459,0.2017543859649122,0.1678832116788321,0.1832669322709163,0.4614147909967845,0.6,emission,0.0
4,0.6119402985074627,0.82,0.7008547008547008,0.140625,0.3272727272727272,0.1967213114754098,0.4780316344463972,0.5,emission,0.0
5,0.4988610478359909,0.7849462365591398,0.6100278551532033,0.36,0.216867469879518,0.2706766917293233,0.4866666666666667,0.7,emission,0.0
