fold,EP,ER,EF1,entity_tp,entity_fp,entity_fn,RP,RR,RF1,relation_tp,relation_fp,relation_fn
1,0.5994623655913979,0.7770034843205574,0.6767830045523521,223,149,64,0.2580645161290322,0.25,0.2539682539682539,32,92,96
2,0.6521739130434783,0.8015267175572519,0.7191780821917808,210,112,52,0.1810344827586207,0.1981132075471698,0.1891891891891891,21,95,85
3,0.7209302325581395,0.7890909090909091,0.7534722222222222,217,84,58,0.2110091743119266,0.1678832116788321,0.1869918699186992,23,86,114
4,0.6119402985074627,0.82,0.7008547008547008,205,130,45,0.140625,0.3272727272727272,0.1967213114754098,36,220,74
5,0.4988610478359909,0.7849462365591398,0.6100278551532033,219,220,60,0.36,0.216867469879518,0.2706766917293233,18,32,65
