system,EP_mean,EP_sample_sd,ER_mean,ER_sample_sd,EF1_mean,EF1_sample_sd,RP_mean,RP_sample_sd,RR_mean,RR_sample_sd,RF1_mean,RF1_sample_sd
rule_kb_baseline,0.4843889386412751,0.19173443438194354,0.21565338518955374,0.0238362375278725,0.2892543876698886,0.05097756495740253,0.031232323232323222,0.029505187098332053,0.007051620738440701,0.0077989706453691155,0.011299003807706499,0.011997385400624833
contextual_neural,0.6373615375344752,0.08734420842538207,0.7794061616207548,0.02942450434464297,0.6975907182034841,0.05078821511467222,0.22903013664862043,0.08490689080877864,0.23202732327564943,0.06101057192074673,0.21913805280514048,0.040547876065989384
naive_hybrid,0.6166735715072938,0.08112975076818041,0.7945134695055716,0.01678008174711312,0.6920631729948519,0.053728152561969916,0.23014663463991586,0.08431143682947052,0.23202732327564943,0.06101057192074673,0.21950946325617507,0.0396910137326574
per_type_calibrated_hybrid,0.6428725954333674,0.08425970379405842,0.8000787234944436,0.028200737316100878,0.7096627886840831,0.05125186681434356,0.20785124258452425,0.09431352698603933,0.2633688705567848,0.05484968188297532,0.21381750560010113,0.06507257358208068
conservative_hybrid,0.6428725954333674,0.08425970379405842,0.8000787234944436,0.028200737316100878,0.7096627886840831,0.05125186681434356,0.23358153337304532,0.08503357721229837,0.23202732327564943,0.06101057192074674,0.22169933783980622,0.03954749355675043
