fold,EP,ER,EF1,entity_tp,entity_fp,entity_fn,RP,RR,RF1,relation_tp,relation_fp,relation_fn
1,0.6875,0.7665505226480837,0.7248764415156509,220,100,67,0.2622950819672131,0.25,0.256,32,90,96
2,0.6750788643533123,0.816793893129771,0.7392055267702937,214,103,48,0.0656303972366148,0.3584905660377358,0.110948905109489,38,541,68
3,0.722972972972973,0.7781818181818182,0.7495621716287216,214,82,61,0.2222222222222222,0.218978102189781,0.2205882352941176,30,105,107
4,0.6220238095238095,0.836,0.7133105802047781,209,127,41,0.1756756756756756,0.2363636363636363,0.2015503875968992,26,122,84
5,0.5067873303167421,0.8028673835125448,0.6213592233009709,224,218,55,0.3134328358208955,0.253012048192771,0.2799999999999999,21,46,62
