fold,relation_threshold,EP,ER,EF1,entity_tp,entity_fp,entity_fn,RP,RR,RF1,relation_tp,relation_fp,relation_fn
1,0.4,0.2523364485981308,0.1881533101045296,0.2155688622754491,54,160,233,0.0,0.0,0.0,0,24,128
2,0.35,0.5959595959595959,0.2251908396946564,0.3268698060941828,59,40,203,0.0606060606060606,0.0188679245283018,0.0287769784172661,2,31,104
3,0.55,0.625,0.2363636363636363,0.3430079155672823,65,39,210,0.0555555555555555,0.0072992700729927,0.0129032258064516,1,17,136
4,0.3,0.6486486486486487,0.192,0.2962962962962963,48,26,202,0.04,0.009090909090909,0.0148148148148148,1,24,109
5,0.9,0.3,0.2365591397849462,0.2645290581162324,66,154,213,0.0,0.0,0.0,0,0,83
